Average Degree,Average shortest path,Clustering coefficient,Katz Centrality,Between Centrality,Degree Centrality,Closeness Centrality,condition,Y
35.04453196,1.564484127,0.566468254,0.798980638,0.02032412,0.009104583,0.657907018,1,0
35.72688733,1.564980159,0.554563492,0.798817296,0.00791219,0.009112583,0.657990795,2,0
38.43412411,1.555555556,0.652281746,0.897681866,0.02196825,0.008960573,0.672994093,3,0
39.19904458,1.465949821,0.607782898,0.824686588,0.007348494,0.007638522,0.706549475,1,0
37.67323879,1.505376344,0.57296467,0.79621493,0.008780873,0.008284858,0.687496201,2,0
37.8845147,1.475166411,0.584229391,0.811797748,0.004019683,0.007789613,0.697126133,3,0
33.53711762,1.615575397,0.532242063,0.779476435,0.003381964,0.009928635,0.642996921,1,0
33.9598112,1.575396825,0.523809524,0.797169297,0.002279424,0.009280594,0.653052148,2,0
34.7301961,1.642857143,0.528769841,0.761088262,0.02816696,0.010368664,0.63635938,3,0
36.65206083,1.496159754,0.567332309,0.788343663,0.017305023,0.008133766,0.68400234,1,0
34.57621591,1.572916667,0.541666667,0.786381944,0.004462562,0.009240591,0.656987236,2,0
34.20505907,1.576388889,0.526289683,0.766710362,0.013361924,0.009296595,0.654382885,3,0
39.68942634,1.441964286,0.630456349,0.834814396,0.003936855,0.007128456,0.707300548,1,0
38.70762596,1.474702381,0.618551587,0.824762857,0.00084939,0.00765649,0.696783983,2,0
40.67611237,1.441964286,0.629960317,0.839712874,0.012941952,0.007128456,0.707657292,3,0
37.98630391,1.452636969,0.597542243,0.778615752,0.008450985,0.007420278,0.702711684,1,0
35.87279818,1.489583333,0.553571429,0.762047858,0.006769459,0.007896505,0.678576715,2,0
35.27821159,1.515376984,0.552083333,0.7820324,0.012561781,0.008312532,0.669917447,3,0
34.89486144,1.55406746,0.532738095,0.786608842,0.018129986,0.008936572,0.659828972,1,0
34.72008874,1.552579365,0.524801587,0.799997103,0.012952938,0.00891257,0.660743966,2,0
34.67246032,1.545634921,0.535218254,0.787095139,0.010141209,0.008800563,0.662437924,3,0
35.93353273,1.529265873,0.523313492,0.781116553,0.004426592,0.008536546,0.667376325,1,0
36.66357183,1.504352279,0.558627752,0.801355748,0.001759,0.00826807,0.681126277,2,0
37.08338441,1.540178571,0.538690476,0.818689105,0.000510676,0.008712558,0.667872918,3,0
34.21106165,1.529265873,0.527777778,0.761399432,0.000288261,0.008536546,0.665602756,1,0
36.60158738,1.515376984,0.558531746,0.805537251,0.0111028,0.008312532,0.677534415,2,0
34.91267308,1.53422619,0.535714286,0.776727794,0.001761813,0.008616551,0.662713745,3,0
34.63888571,1.520337302,0.607638889,0.874200213,0.001599,0.008392537,0.675061163,1,0
38.32118109,1.447382337,0.625066103,0.795387851,0.009860089,0.007456372,0.711352788,2,0
37.80122541,1.580327869,0.591256831,0.839382588,0.011641267,0.009836066,0.66845469,1,0
35.13697531,1.701388889,0.512400794,0.779362728,0.021887595,0.011312724,0.620838743,2,0
35.29325984,1.638815442,0.55050238,0.805633071,0.008916684,0.010646924,0.644793777,3,0
35.61970093,1.538690476,0.548115079,0.788350486,0.01022823,0.008688556,0.669808934,1,0
36.17119918,1.538194444,0.549603175,0.783803187,0.002329848,0.008680556,0.669859098,2,0
36.35651285,1.530753968,0.556051587,0.78123706,0.003137967,0.008560548,0.67209709,3,0
37.87103675,1.553477499,0.61659848,0.838557782,0.006661734,0.009710132,0.681913594,1,0
38.48101987,1.586462189,0.564780539,0.826833892,0.003038838,0.00977437,0.66662022,2,0
37.57338691,1.531638418,0.587570621,0.833942876,0.012516679,0.00916618,0.685150323,3,0
35.55940872,1.514384921,0.547123016,0.790855003,0.009475663,0.008296531,0.672822826,1,0
35.47965187,1.518353175,0.546130952,0.784690414,0.000388534,0.008360535,0.669404526,2,0
34.17576545,1.552083333,0.535714286,0.773419897,0.012129574,0.00890457,0.659666138,3,0
36.49450082,1.508474576,0.564971751,0.791281775,0.004922392,0.008766803,0.683509902,1,0
38.02278418,1.482758621,0.585622443,0.85178088,0.014987725,0.008469449,0.700895311,2,0
39.71728169,1.419172932,0.64160401,0.812373559,0.005084798,0.007621326,0.7311035,3,0
34.90542657,1.555555556,0.547619048,0.790300137,0.018833722,0.008960573,0.661033139,1,0
34.3421208,1.561507937,0.54265873,0.782655903,0.020805419,0.00905658,0.657442482,2,0
33.92949986,1.559027778,0.536706349,0.797034315,0.013239572,0.009016577,0.656286583,3,0
35.37725111,1.552083333,0.554563492,0.8171893,0.002075742,0.00890457,0.662369217,1,0
36.27109595,1.529265873,0.599206349,0.843239408,0.010378284,0.008536546,0.67549019,2,0
37.46163031,1.536210317,0.582837302,0.856999573,0.003739403,0.008648554,0.673696302,3,0
36.87115811,1.535586278,0.564260113,0.78385347,0.017135191,0.008780103,0.677064968,1,0
35.6329856,1.544802867,0.551459293,0.773142905,0.006368615,0.008931195,0.668073981,2,0
40.96568545,1.433333333,0.628415301,0.841054034,0.015451129,0.007344633,0.721336714,3,0
35.95247652,1.51140873,0.558035714,0.763835366,0.008539011,0.008248528,0.673918291,1,0
35.20498474,1.524305556,0.55109127,0.763650305,0.008679824,0.008456541,0.667544214,2,0
34.43435107,1.571428571,0.562996032,0.784818247,0.007754534,0.00921659,0.655296511,3,0
35.67825843,1.546271814,0.537810682,0.807566101,0.007381653,0.00910453,0.667705434,1,0
33.76500027,1.596518177,0.534050179,0.781049228,0.020842089,0.009778987,0.650338989,2,0
35.54074884,1.541730671,0.54889913,0.790038621,0.003923287,0.008880831,0.668790103,3,0
34.63152984,1.545138889,0.538194444,0.762263392,0.0148476,0.008792563,0.659205489,1,0
34.9551929,1.537698413,0.54265873,0.767261897,0.010590226,0.008672555,0.662657564,2,0
34.56187491,1.542162698,0.535714286,0.756865828,0.003702545,0.00874456,0.659607173,3,0
33.63157703,1.553075397,0.521329365,0.748500771,0.009740164,0.008920571,0.654518157,1,0
33.53021812,1.55109127,0.519345238,0.766379152,0.00482642,0.008888569,0.655855728,2,0
33.5492032,1.543154762,0.52281746,0.755332281,0.008331867,0.008760561,0.658280913,3,0
37.83745892,1.59672619,0.571924603,0.767590398,0.009279395,0.009624616,0.655420349,1,0
36.4714408,1.502480159,0.579365079,0.826624423,0.00441902,0.008104519,0.676472019,2,0
33.27131523,1.575396825,0.519345238,0.75199084,0.007995995,0.009280594,0.649408343,3,0
35.39300382,1.514880952,0.528769841,0.783394332,0.005169132,0.008304531,0.671102765,1,0
35.96398458,1.50843254,0.532242063,0.780733984,0.004129932,0.008200525,0.67472149,2,0
34.9611723,1.527777778,0.527777778,0.778820449,0.003009045,0.008512545,0.668227864,3,0
36.49599782,1.507936508,0.57093254,0.798080404,0.020227692,0.008192524,0.675574458,1,0
37.2663911,1.495039683,0.581845238,0.798560383,0.022592484,0.007984511,0.681840576,2,0
36.78412338,1.50843254,0.57390873,0.802167427,0.000508535,0.008200525,0.675540056,3,0
34.95543766,1.527281746,0.540178571,0.762630412,0.005885303,0.008504544,0.666666561,1,1
35.5031503,1.528769841,0.546626984,0.775879504,0.005753643,0.008528546,0.667800632,2,1
34.41721469,1.564980159,0.527281746,0.762640332,0.006968164,0.009112583,0.652933192,3,1
35.42610361,1.657738095,0.548115079,0.81833751,0.010873499,0.010608679,0.62919958,1,1
34.64145268,1.579861111,0.527777778,0.776500417,0.01373439,0.009352599,0.650148732,2,1
33.70296122,1.597718254,0.510416667,0.775803461,0.015520926,0.009640617,0.644131579,3,1
35.38821715,1.527777778,0.577380952,0.791143195,0.002758996,0.008512545,0.671757028,1,1
35.13983561,1.500992063,0.570436508,0.788495144,0.01235901,0.008080517,0.678979639,2,1
35.0955422,1.528769841,0.556547619,0.775576337,0.006490625,0.008528546,0.669381865,3,1
36.39135391,1.535218254,0.540674603,0.799208337,0.010823134,0.008632552,0.667018845,1,1
37.14935088,1.522273425,0.571428571,0.80283352,0.009882533,0.008561859,0.678924348,2,1
35.53319499,1.555555556,0.53968254,0.796512794,0.006207008,0.008960573,0.662666703,3,1
35.76209059,1.525297619,0.564980159,0.790795008,0.003926414,0.008472542,0.671188085,1,1
36.44309521,1.52281746,0.55406746,0.797967975,0.001737728,0.00843254,0.671338181,2,1
35.5747053,1.524801587,0.546626984,0.792931062,0.010644618,0.008464542,0.668428556,3,1
34.47557502,1.52827381,0.549603175,0.765341287,0.011501214,0.008520545,0.662120727,1,1
35.52567188,1.507440476,0.560515873,0.771246385,0.02380288,0.008184524,0.671611412,2,1
34.83575984,1.523809524,0.55406746,0.762430182,0.009281176,0.008448541,0.666527898,3,1
36.19381538,1.466973886,0.571940604,0.780458023,0.003049811,0.00765531,0.690033367,1,1
35.43203573,1.509920635,0.544642857,0.760884812,0.003852345,0.008224526,0.672796078,2,1
36.53110942,1.498719918,0.58218126,0.785467426,0.006250594,0.008175736,0.684945821,3,1
35.20852157,1.506944444,0.550595238,0.760910658,0.000330213,0.008176523,0.673760784,1,1
35.96130618,1.500496032,0.565972222,0.768731206,0.006866109,0.008072517,0.679483066,2,1
35.64375491,1.523313492,0.556547619,0.785256653,0.00367094,0.00844054,0.672717412,3,1
37.78547457,1.501984127,0.553075397,0.793617336,0.006777253,0.008096518,0.681670433,1,1
37.02503577,1.532738095,0.538194444,0.783740726,0.011551909,0.00859255,0.671060624,2,1
37.40779803,1.52281746,0.548115079,0.795966602,0.002478824,0.00843254,0.674182921,3,1
35.28413046,1.632872504,0.557091654,0.87920509,0.006038474,0.010374959,0.638671834,1,1
29.86450678,1.618720254,0.537810682,0.82477864,0.0095358,0.010312004,0.639197172,2,1
35.90630754,1.552088842,0.564780539,0.818375235,0.012817398,0.009201481,0.671552078,3,1
34.08824872,1.527281746,0.528769841,0.773054555,0.004802019,0.008504544,0.662642999,1,1
34.83566683,1.517361111,0.540178571,0.777955231,0.004680491,0.008344534,0.668302673,2,1
33.56467746,1.556051587,0.523313492,0.786541398,0.003363143,0.008968574,0.653772029,3,1
39.84637867,1.447916667,0.645833333,0.862392781,0.007819621,0.007224462,0.705788308,1,1
39.66104224,1.454861111,0.63343254,0.837438662,0.000942463,0.00733647,0.699935208,2,1
39.93165557,1.458333333,0.631944444,0.838298385,0.033816763,0.007392473,0.69827569,3,1
33.4706609,1.634408602,0.522273425,0.780307813,0.013561771,0.010400141,0.635542896,1,1
33.4809937,1.614439324,0.523809524,0.778794933,0.006035266,0.010072776,0.641858862,2,1
31.42739804,1.683531746,0.499007937,0.733261606,0.001210709,0.011024706,0.616541174,3,1
35.7404758,1.498015873,0.563492063,0.781388463,0.010491354,0.008032514,0.675751493,1,1
34.18445498,1.529761905,0.54265873,0.755302751,0.005498498,0.008544547,0.663009527,2,1
34.24739233,1.552579365,0.543650794,0.766950533,0.001735263,0.00891257,0.657697555,3,1
35.46874518,1.839781746,0.538690476,0.772427034,0.0042392,0.013544867,0.592176566,1,1
34.42425186,1.649801587,0.531746032,0.760192682,0.007871863,0.010480671,0.634755281,2,1
